GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
00707	54561533	3816673	21.066	1.474	18.014055	-65.920751
00714	37863486	42740	14.619	0.017	18.003025	-66.046237
00715	20381739	150234	7.869	0.058	18.011233	-66.560065
00716	22174333	7917755	8.562	3.057	17.991269	-66.606774
00717	5443510	77746	2.102	0.03	18.003222	-66.614037
00718	117171778	3457281	45.24	1.335	18.231988	-65.759623
00719	72527849	898340	28.003	0.347	18.28992	-66.25344
00720	154382625	286519	59.607	0.111	18.217946	-66.428076
00723	119553980	1319679	46.16	0.51	18.043498	-66.015479
00725	109356066	1177085	42.223	0.454	18.218819	-66.042375
00727	55676838	26958	21.497	0.01	18.215308	-66.073565
00728	40524727	21618805	15.647	8.347	17.989853	-66.664116
00729	87958815	364682	33.961	0.141	18.329872	-65.885139
00730	16873782	108258	6.515	0.042	18.030831	-66.616838
00731	123629339	2783085	47.734	1.075	18.109947	-66.635622
00735	60368948	1842361	23.309	0.711	18.252603	-65.682494
00736	142702109	78607	55.098	0.03	18.103624	-66.151667
00738	76345230	78611070	29.477	30.352	18.308717	-65.738915
00739	81792958	1113757	31.58	0.43	18.177233	-66.160645
00740	1103420	40887	0.426	0.016	18.331178	-65.634104
00741	6121387	2792488	2.363	1.078	18.163855	-65.754042
00745	133676580	6158141	51.613	2.378	18.352216	-65.817387
00751	121673737	29332072	46.978	11.325	18.001317	-66.252183
00754	132164369	241724	51.029	0.093	18.147107	-65.976167
00757	77271797	5584962	29.835	2.156	17.995441	-66.391334
00765	49323170	1735816	19.044	0.67	18.130096	-65.439369
00766	103701681	3739019	40.039	1.444	18.133197	-66.476659
00767	143501380	6804947	55.406	2.627	18.069489	-65.896161
00769	198169785	37652	76.514	0.015	18.1038	-66.357586
00771	87591120	32509	33.819	0.013	18.187148	-65.871189
00772	37965373	13642546	14.659	5.267	18.438944	-65.90522
00773	62966802	2572548	24.312	0.993	18.342888	-65.723109
00775	27346541	33429242	10.559	12.907	18.326599	-65.30772
00777	68844366	327693	26.581	0.127	18.224133	-65.908542
00778	76769518	1123086	29.641	0.434	18.264076	-65.97851
00780	52112381	777901	20.121	0.3	18.102834	-66.568105
00782	69008756	319739	26.644	0.123	18.225708	-66.221633
00783	108367770	16284	41.841	0.006	18.30391	-66.326179
00784	143866465	16287419	55.547	6.289	18.010714	-66.133615
00786	666251	0	0.257	0.	18.155424	-66.229907
00791	95625666	2964736	36.921	1.145	18.136782	-65.821476
00794	91419778	77812	35.297	0.03	18.200018	-66.309282
00795	119806324	958175	46.257	0.37	18.060494	-66.500624
00801	2875851	1354	1.11	0.001	18.349806	-64.974001
00802	71678069	8928397	27.675	3.447	18.340709	-64.923329
00820	78982025	3075493	30.495	1.187	17.7431	-64.686556
00823	1035364	0	0.4	0.	17.723548	-64.745932
00824	57054	0	0.022	0.	17.744557	-64.682933
00830	50005936	372698	19.307	0.144	18.338559	-64.73653
00831	119742	0	0.046	0.	18.327293	-64.786717
00840	48723545	22578	18.812	0.009	17.67788	-64.902189
00841	6600942	632642	2.549	0.244	17.758634	-64.817451
00850	60060269	3028706	23.189	1.169	17.745949	-64.80055
00851	19686496	71124	7.601	0.027	17.732228	-64.77076
00901	2535591	30548	0.979	0.012	18.465369	-66.104613
00906	8247	0	0.003	0.	18.46446	-66.094995
00907	3118631	347420	1.204	0.134	18.452553	-66.077838
00909	1580955	49304	0.61	0.019	18.44161	-66.067132
00911	1232507	0	0.476	0.	18.451159	-66.056199
00912	862980	0	0.333	0.	18.445334	-66.060139
00913	834834	0	0.322	0.	18.450002	-66.042656
00915	3616961	813350	1.397	0.314	18.437179	-66.045571
00917	3360012	46993	1.297	0.018	18.420674	-66.050105
00918	5516964	101168	2.13	0.039	18.421022	-66.065789
00920	7363185	106885	2.843	0.041	18.414292	-66.088042
00921	6923315	0	2.673	0.	18.392294	-66.088528
00923	5285551	7300	2.041	0.003	18.409029	-66.038586
00924	12154908	1369	4.693	0.001	18.398126	-66.012592
00925	1158082	0	0.447	0.	18.400296	-66.050602
00926	62578800	1047989	24.162	0.405	18.3454	-66.051545
00927	6805705	5830	2.628	0.002	18.388011	-66.072089
00934	1938926	26786	0.749	0.01	18.411313	-66.124234
00936	417954	0	0.161	0.	18.395463	-66.073772
00949	45535087	2112066	17.581	0.815	18.430696	-66.212833
00950	6204979	1989343	2.396	0.768	18.459699	-66.233101
00951	1075640	29541	0.415	0.011	18.42753	-66.253789
00952	3204976	0	1.237	0.	18.427448	-66.182026
00953	69143621	1364967	26.697	0.527	18.360729	-66.251527
00956	68564546	215365	26.473	0.083	18.321137	-66.170419
00957	11967897	1407	4.621	0.001	18.368371	-66.1878
00959	16617999	81793	6.416	0.032	18.385785	-66.155654
00960	2366333	2485	0.914	0.001	18.416641	-66.144555
00961	13404397	168929	5.175	0.065	18.413307	-66.164683
00962	9888765	1121473	3.818	0.433	18.444614	-66.148819
00965	1746399	328905	0.674	0.127	18.433757	-66.114752
